@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
42,539,12,145,30,0.828571,0.978221,0.788012,0.978221,0.211988,0.872874,0.942149,1.038288,0.284803
43,539,12,144,31,0.822857,0.978221,0.789165,0.978221,0.210835,0.873582,0.940771,1.039808,0.284804
44,539,12,143,32,0.817143,0.978221,0.790323,0.978221,0.209677,0.87429,0.939394,1.041332,0.322696
45,538,13,143,32,0.817143,0.976407,0.790015,0.976407,0.209985,0.873377,0.938017,1.040927,0.398464
46,538,13,142,33,0.811429,0.976407,0.791176,0.976407,0.208824,0.874086,0.936639,1.042458,0.619853
47,537,14,142,33,0.811429,0.974592,0.790869,0.974592,0.209131,0.873171,0.935262,1.042052,0.619853
48,536,15,142,33,0.811429,0.972777,0.79056,0.972777,0.20944,0.872254,0.933884,1.041646,0.619853
49,535,16,142,33,0.811429,0.970962,0.790251,0.970962,0.209749,0.871336,0.932507,1.041238,0.619853
50,534,17,142,33,0.811429,0.969147,0.789941,0.969147,0.210059,0.870416,0.931129,1.040829,0.619853
51,533,18,142,33,0.811429,0.967332,0.78963,0.967332,0.21037,0.869494,0.929752,1.040419,0.619853
52,532,19,142,33,0.811429,0.965517,0.789318,0.965517,0.210682,0.868571,0.928375,1.040008,0.619853
53,531,20,142,33,0.811429,0.963702,0.789004,0.963702,0.210996,0.867647,0.926997,1.039596,0.619853
54,530,21,142,33,0.811429,0.961887,0.78869,0.961887,0.21131,0.866721,0.92562,1.039182,0.619853
55,529,22,142,33,0.811429,0.960073,0.788376,0.960073,0.211624,0.865794,0.924242,1.038767,0.619853
56,528,23,142,33,0.811429,0.958258,0.78806,0.958258,0.21194,0.864865,0.922865,1.038351,0.619853
57,527,24,142,33,0.811429,0.956443,0.787743,0.956443,0.212257,0.863934,0.921488,1.037933,0.619853
58,526,25,142,33,0.811429,0.954628,0.787425,0.954628,0.212575,0.863002,0.92011,1.037515,0.619853
59,525,26,142,33,0.811429,0.952813,0.787106,0.952813,0.212894,0.862069,0.918733,1.037095,0.619853
60,524,27,142,33,0.811429,0.950998,0.786787,0.950998,0.213213,0.861134,0.917355,1.036674,0.619853
61,523,28,142,33,0.811429,0.949183,0.786466,0.949183,0.213534,0.860197,0.915978,1.036251,0.619853
62,523,28,141,34,0.805714,0.949183,0.787651,0.949183,0.212349,0.860905,0.914601,1.037812,0.619853
63,522,29,141,34,0.805714,0.947368,0.78733,0.947368,0.21267,0.859967,0.913223,1.03739,0.619853
64,521,30,141,34,0.805714,0.945554,0.787009,0.945554,0.212991,0.859027,0.911846,1.036967,0.619853
65,520,31,141,34,0.805714,0.943739,0.786687,0.943739,0.213313,0.858086,0.910468,1.036542,0.619853
66,519,32,141,34,0.805714,0.941924,0.786364,0.941924,0.213636,0.857143,0.909091,1.036116,0.619853
67,518,33,141,34,0.805714,0.940109,0.786039,0.940109,0.213961,0.856198,0.907713,1.035689,0.619853
68,517,34,141,34,0.805714,0.938294,0.785714,0.938294,0.214286,0.855252,0.906336,1.035261,0.619853
69,516,35,141,34,0.805714,0.936479,0.785388,0.936479,0.214612,0.854305,0.904959,1.034831,0.619853
70,515,36,141,34,0.805714,0.934664,0.785061,0.934664,0.214939,0.853355,0.903581,1.0344,0.619853
71,514,37,141,34,0.805714,0.932849,0.784733,0.932849,0.215267,0.852405,0.902204,1.033967,0.619853
72,513,38,141,34,0.805714,0.931034,0.784404,0.931034,0.215596,0.851452,0.900826,1.033534,0.619853
73,512,39,141,34,0.805714,0.92922,0.784074,0.92922,0.215926,0.850498,0.899449,1.033099,0.619853
74,512,39,140,35,0.8,0.92922,0.785276,0.92922,0.214724,0.851205,0.898072,1.034683,0.619853
75,511,40,140,35,0.8,0.927405,0.784946,0.927405,0.215054,0.85025,0.896694,1.034249,0.619853
76,510,41,140,35,0.8,0.92559,0.784615,0.92559,0.215385,0.849292,0.895317,1.033813,0.619853
77,509,42,140,35,0.8,0.923775,0.784284,0.923775,0.215716,0.848333,0.893939,1.033375,0.619853
78,508,43,140,35,0.8,0.92196,0.783951,0.92196,0.216049,0.847373,0.892562,1.032937,0.619853
79,507,44,140,35,0.8,0.920145,0.783617,0.920145,0.216383,0.846411,0.891185,1.032497,0.619853
80,506,45,140,35,0.8,0.91833,0.783282,0.91833,0.216718,0.845447,0.889807,1.032055,0.619853
81,505,46,140,35,0.8,0.916515,0.782946,0.916515,0.217054,0.844482,0.88843,1.031613,0.619853
82,505,46,139,36,0.794286,0.916515,0.784161,0.916515,0.215839,0.845188,0.887052,1.033215,0.619853
83,504,47,139,36,0.794286,0.914701,0.783826,0.914701,0.216174,0.844221,0.885675,1.032772,0.619853
84,503,48,139,36,0.794286,0.912886,0.783489,0.912886,0.216511,0.843252,0.884298,1.032329,0.619853
85,502,49,139,36,0.794286,0.911071,0.783151,0.911071,0.216849,0.842282,0.88292,1.031884,0.619853
86,501,50,139,36,0.794286,0.909256,0.782813,0.909256,0.217188,0.84131,0.881543,1.031437,0.619853
87,500,51,139,36,0.794286,0.907441,0.782473,0.907441,0.217527,0.840336,0.880165,1.030989,0.619853
88,499,52,139,36,0.794286,0.905626,0.782132,0.905626,0.217868,0.839361,0.878788,1.03054,0.619853
89,498,53,139,36,0.794286,0.903811,0.78179,0.903811,0.21821,0.838384,0.87741,1.030089,0.619853
90,497,54,139,36,0.794286,0.901996,0.781447,0.901996,0.218553,0.837405,0.876033,1.029637,0.619853
91,496,55,139,36,0.794286,0.900181,0.781102,0.900181,0.218898,0.836425,0.874656,1.029184,0.619853
92,495,56,139,36,0.794286,0.898367,0.780757,0.898367,0.219243,0.835443,0.873278,1.028729,0.619853
93,495,56,138,37,0.788571,0.898367,0.781991,0.898367,0.218009,0.836149,0.871901,1.030354,0.619853
94,494,57,138,37,0.788571,0.896552,0.781646,0.896552,0.218354,0.835165,0.870523,1.0299,0.619853
95,494,57,137,38,0.782857,0.896552,0.782884,0.896552,0.217116,0.835871,0.869146,1.031532,0.619853
96,493,58,137,38,0.782857,0.894737,0.78254,0.894737,0.21746,0.834886,0.867769,1.031078,0.619853
97,492,59,137,38,0.782857,0.892922,0.782194,0.892922,0.217806,0.833898,0.866391,1.030622,0.619853
98,492,59,136,39,0.777143,0.892922,0.783439,0.892922,0.216561,0.834606,0.865014,1.032263,0.619853
99,491,60,136,39,0.777143,0.891107,0.783094,0.891107,0.216906,0.833616,0.863636,1.031808,0.619853
100,490,61,136,39,0.777143,0.889292,0.782748,0.889292,0.217252,0.832625,0.862259,1.031352,0.619853
101,490,61,135,40,0.771429,0.889292,0.784,0.889292,0.216,0.833333,0.860882,1.033002,0.619854
102,489,62,135,40,0.771429,0.887477,0.783654,0.887477,0.216346,0.83234,0.859504,1.032546,0.619854
103,488,63,135,40,0.771429,0.885662,0.783307,0.885662,0.216693,0.831346,0.858127,1.032088,0.619854
104,488,63,134,41,0.765714,0.885662,0.784566,0.885662,0.215434,0.832055,0.856749,1.033747,0.619854
105,488,63,133,42,0.76,0.885662,0.785829,0.885662,0.214171,0.832765,0.855372,1.035412,0.619854
106,487,64,133,42,0.76,0.883848,0.785484,0.883848,0.214516,0.831768,0.853994,1.034957,0.619854
107,486,65,133,42,0.76,0.882033,0.785137,0.882033,0.214863,0.830769,0.852617,1.0345,0.619854
108,486,65,132,43,0.754286,0.882033,0.786408,0.882033,0.213592,0.83148,0.85124,1.036174,0.619854
109,485,66,132,43,0.754286,0.880218,0.786062,0.880218,0.213938,0.830479,0.849862,1.035718,0.619854
110,485,66,131,44,0.748571,0.880218,0.787338,0.880218,0.212662,0.831191,0.848485,1.0374,0.619854
111,484,67,131,44,0.748571,0.878403,0.786992,0.878403,0.213008,0.830189,0.847107,1.036944,0.619854
112,484,67,130,45,0.742857,0.878403,0.788274,0.878403,0.211726,0.830901,0.84573,1.038633,0.619854
113,483,68,130,45,0.742857,0.876588,0.787928,0.876588,0.212072,0.829897,0.844353,1.038178,0.619854
114,483,68,129,46,0.737143,0.876588,0.789216,0.876588,0.210784,0.83061,0.842975,1.039874,0.619854
115,483,68,128,47,0.731429,0.876588,0.790507,0.876588,0.209493,0.831325,0.841598,1.041576,0.619854
116,483,68,127,48,0.725714,0.876588,0.791803,0.876588,0.208197,0.832041,0.84022,1.043283,0.619855
117,483,68,126,49,0.72,0.876588,0.793103,0.876588,0.206897,0.832759,0.838843,1.044997,0.619862
118,483,68,125,50,0.714286,0.876588,0.794408,0.876588,0.205592,0.833477,0.837466,1.046715,0.649431
119,483,68,124,51,0.708571,0.876588,0.795717,0.876588,0.204283,0.834197,0.836088,1.04844,0.649431
120,482,69,124,51,0.708571,0.874773,0.79538,0.874773,0.20462,0.833189,0.834711,1.047996,0.649431
121,481,70,124,51,0.708571,0.872958,0.795041,0.872958,0.204959,0.83218,0.833333,1.04755,0.649431
122,480,71,124,51,0.708571,0.871143,0.794702,0.871143,0.205298,0.831169,0.831956,1.047103,0.649431
123,480,71,123,52,0.702857,0.871143,0.79602,0.871143,0.20398,0.831889,0.830579,1.048839,0.649431
124,479,72,123,52,0.702857,0.869328,0.795681,0.869328,0.204319,0.830876,0.829201,1.048393,0.649431
125,478,73,123,52,0.702857,0.867514,0.795341,0.867514,0.204659,0.829861,0.827824,1.047945,0.649431
126,477,74,123,52,0.702857,0.865699,0.795,0.865699,0.205,0.828844,0.826446,1.047495,0.649431
127,476,75,123,52,0.702857,0.863884,0.794658,0.863884,0.205342,0.827826,0.825069,1.047045,0.649431
128,475,76,123,52,0.702857,0.862069,0.794314,0.862069,0.205686,0.826806,0.823691,1.046592,0.649431
129,474,77,123,52,0.702857,0.860254,0.79397,0.860254,0.20603,0.825784,0.822314,1.046138,0.649431
130,473,78,123,52,0.702857,0.858439,0.793624,0.858439,0.206376,0.82476,0.820937,1.045683,0.649431
131,472,79,123,52,0.702857,0.856624,0.793277,0.856624,0.206723,0.823735,0.819559,1.045226,0.649431
132,471,80,123,52,0.702857,0.854809,0.792929,0.854809,0.207071,0.822707,0.818182,1.044767,0.649431
133,471,80,122,53,0.697143,0.854809,0.794266,0.854809,0.205734,0.823427,0.816804,1.046529,0.649431
134,470,81,122,53,0.697143,0.852995,0.793919,0.852995,0.206081,0.822397,0.815427,1.046071,0.649431
135,469,82,122,53,0.697143,0.85118,0.79357,0.85118,0.20643,0.821366,0.81405,1.045612,0.649431
136,469,82,121,54,0.691429,0.85118,0.794915,0.85118,0.205085,0.822086,0.812672,1.047384,0.649431
137,468,83,121,54,0.691429,0.849365,0.794567,0.849365,0.205433,0.821053,0.811295,1.046925,0.649431
138,467,84,121,54,0.691429,0.84755,0.794218,0.84755,0.205782,0.820018,0.809917,1.046465,0.649431
139,467,84,120,55,0.685714,0.84755,0.795571,0.84755,0.204429,0.820738,0.80854,1.048247,0.649431
140,466,85,120,55,0.685714,0.845735,0.795222,0.845735,0.204778,0.819701,0.807163,1.047788,0.649431
141,465,86,120,55,0.685714,0.84392,0.794872,0.84392,0.205128,0.818662,0.805785,1.047327,0.649431
142,464,87,120,55,0.685714,0.842105,0.794521,0.842105,0.205479,0.817621,0.804408,1.046864,0.649431
143,463,88,120,55,0.685714,0.84029,0.794168,0.84029,0.205832,0.816578,0.80303,1.046399,0.649431
144,462,89,120,55,0.685714,0.838475,0.793814,0.838475,0.206186,0.815534,0.801653,1.045933,0.649431
145,461,90,120,55,0.685714,0.836661,0.79346,0.836661,0.20654,0.814488,0.800275,1.045466,0.649431
146,460,91,120,55,0.685714,0.834846,0.793103,0.834846,0.206897,0.813439,0.798898,1.044997,0.649431
147,459,92,120,55,0.685714,0.833031,0.792746,0.833031,0.207254,0.812389,0.797521,1.044526,0.649431
148,458,93,120,55,0.685714,0.831216,0.792388,0.831216,0.207612,0.811337,0.796143,1.044053,0.649431
149,457,94,120,55,0.685714,0.829401,0.792028,0.829401,0.207972,0.810284,0.794766,1.043579,0.649431
150,457,94,119,56,0.68,0.829401,0.793403,0.829401,0.206597,0.811003,0.793388,1.045391,0.649431
151,456,95,119,56,0.68,0.827586,0.793043,0.827586,0.206957,0.809947,0.792011,1.044918,0.649431
152,455,96,119,56,0.68,0.825771,0.792683,0.825771,0.207317,0.808889,0.790634,1.044442,0.649431
153,454,97,119,56,0.68,0.823956,0.792321,0.823956,0.207679,0.807829,0.789256,1.043966,0.649431
154,453,98,119,56,0.68,0.822142,0.791958,0.822142,0.208042,0.806768,0.787879,1.043487,0.649431
155,453,98,118,57,0.674286,0.822142,0.793345,0.822142,0.206655,0.807487,0.786501,1.045315,0.649431
156,452,99,118,57,0.674286,0.820327,0.792982,0.820327,0.207018,0.806423,0.785124,1.044837,0.649431
157,451,100,118,57,0.674286,0.818512,0.792619,0.818512,0.207381,0.805357,0.783747,1.044358,0.649431
158,451,100,117,58,0.668571,0.818512,0.794014,0.818512,0.205986,0.806077,0.782369,1.046196,0.649431
159,451,100,116,59,0.662857,0.818512,0.795414,0.818512,0.204586,0.806798,0.780992,1.048042,0.649431
160,450,101,116,59,0.662857,0.816697,0.795053,0.816697,0.204947,0.80573,0.779614,1.047565,0.649431
161,449,102,116,59,0.662857,0.814882,0.79469,0.814882,0.20531,0.804659,0.778237,1.047087,0.649431
162,448,103,116,59,0.662857,0.813067,0.794326,0.813067,0.205674,0.803587,0.77686,1.046608,0.649431
163,447,104,116,59,0.662857,0.811252,0.793961,0.811252,0.206039,0.802513,0.775482,1.046126,0.649431
164,446,105,116,59,0.662857,0.809437,0.793594,0.809437,0.206406,0.801438,0.774105,1.045643,0.649431
165,445,106,116,59,0.662857,0.807623,0.793226,0.807623,0.206774,0.80036,0.772727,1.045159,0.649431
166,444,107,116,59,0.662857,0.805808,0.792857,0.805808,0.207143,0.79928,0.77135,1.044672,0.649431
167,444,107,115,60,0.657143,0.805808,0.794275,0.805808,0.205725,0.8,0.769972,1.046541,0.649431
168,443,108,115,60,0.657143,0.803993,0.793907,0.803993,0.206093,0.798918,0.768595,1.046055,0.649431
169,442,109,115,60,0.657143,0.802178,0.793537,0.802178,0.206463,0.797834,0.767218,1.045568,0.649431
170,441,110,115,60,0.657143,0.800363,0.793165,0.800363,0.206835,0.796748,0.76584,1.045078,0.649431
171,440,111,115,60,0.657143,0.798548,0.792793,0.798548,0.207207,0.79566,0.764463,1.044587,0.649431
172,439,112,115,60,0.657143,0.796733,0.792419,0.796733,0.207581,0.79457,0.763085,1.044094,0.649431
173,438,113,115,60,0.657143,0.794918,0.792043,0.794918,0.207957,0.793478,0.761708,1.0436,0.649431
174,437,114,115,60,0.657143,0.793103,0.791667,0.793103,0.208333,0.792384,0.760331,1.043103,0.649431
175,437,114,114,61,0.651429,0.793103,0.793103,0.793103,0.206897,0.793103,0.758953,1.044997,0.649431
176,436,115,114,61,0.651429,0.791289,0.792727,0.791289,0.207273,0.792007,0.757576,1.044501,0.649431
177,436,115,113,62,0.645714,0.791289,0.794171,0.791289,0.205829,0.792727,0.756198,1.046403,0.649431
178,435,116,113,62,0.645714,0.789474,0.793796,0.789474,0.206204,0.791629,0.754821,1.045909,0.649431
179,435,116,112,63,0.64,0.789474,0.795247,0.789474,0.204753,0.79235,0.753444,1.047821,0.649431
180,435,116,111,64,0.634286,0.789474,0.796703,0.789474,0.203297,0.793072,0.752066,1.04974,0.649431
181,435,116,110,65,0.628571,0.789474,0.798165,0.789474,0.201835,0.793796,0.750689,1.051666,0.649431
182,434,117,110,65,0.628571,0.787659,0.797794,0.787659,0.202206,0.792694,0.749311,1.051177,0.649431
183,434,117,109,66,0.622857,0.787659,0.799263,0.787659,0.200737,0.793419,0.747934,1.053113,0.649431
184,433,118,109,66,0.622857,0.785844,0.798893,0.785844,0.201107,0.792315,0.746556,1.052625,0.649431
185,432,119,109,66,0.622857,0.784029,0.798521,0.784029,0.201479,0.791209,0.745179,1.052135,0.649431
186,431,120,109,66,0.622857,0.782214,0.798148,0.782214,0.201852,0.790101,0.743802,1.051643,0.649432
187,430,121,109,66,0.622857,0.780399,0.797774,0.780399,0.202226,0.788991,0.742424,1.05115,0.649432
188,429,122,109,66,0.622857,0.778584,0.797398,0.778584,0.202602,0.787879,0.741047,1.050655,0.649432
189,429,122,108,67,0.617143,0.778584,0.798883,0.778584,0.201117,0.788603,0.739669,1.052611,0.649432
190,428,123,108,67,0.617143,0.77677,0.798507,0.77677,0.201493,0.787489,0.738292,1.052117,0.649433
191,428,123,107,68,0.611429,0.77677,0.8,0.77677,0.2,0.788214,0.736915,1.054083,0.675348
192,428,123,106,69,0.605714,0.77677,0.801498,0.77677,0.198502,0.78894,0.735537,1.056057,0.716456
193,427,124,106,69,0.605714,0.774955,0.801126,0.774955,0.198874,0.787823,0.73416,1.055567,0.716456
194,426,125,106,69,0.605714,0.77314,0.800752,0.77314,0.199248,0.786704,0.732782,1.055074,0.716456
195,425,126,106,69,0.605714,0.771325,0.800377,0.771325,0.199623,0.785582,0.731405,1.05458,0.716456
196,424,127,106,69,0.605714,0.76951,0.8,0.76951,0.2,0.784459,0.730028,1.054083,0.716456
197,423,128,106,69,0.605714,0.767695,0.799622,0.767695,0.200378,0.783333,0.72865,1.053585,0.716456
198,422,129,106,69,0.605714,0.76588,0.799242,0.76588,0.200758,0.782206,0.727273,1.053085,0.716456
199,421,130,106,69,0.605714,0.764065,0.798861,0.764065,0.201139,0.781076,0.725895,1.052583,0.716456
200,420,131,106,69,0.605714,0.76225,0.798479,0.76225,0.201521,0.779944,0.724518,1.05208,0.716456
201,419,132,106,69,0.605714,0.760436,0.798095,0.760436,0.201905,0.77881,0.72314,1.051574,0.716456
202,418,133,106,69,0.605714,0.758621,0.79771,0.758621,0.20229,0.777674,0.721763,1.051066,0.716456
203,417,134,106,69,0.605714,0.756806,0.797323,0.756806,0.202677,0.776536,0.720386,1.050556,0.716456
204,417,134,105,70,0.6,0.756806,0.798851,0.756806,0.201149,0.77726,0.719008,1.052569,0.716456
205,416,135,105,70,0.6,0.754991,0.798464,0.754991,0.201536,0.776119,0.717631,1.05206,0.716456
206,415,136,105,70,0.6,0.753176,0.798077,0.753176,0.201923,0.774977,0.716253,1.05155,0.716456
207,414,137,105,70,0.6,0.751361,0.797688,0.751361,0.202312,0.773832,0.714876,1.051037,0.716456
208,413,138,105,70,0.6,0.749546,0.797297,0.749546,0.202703,0.772685,0.713499,1.050522,0.716456
209,412,139,105,70,0.6,0.747731,0.796905,0.747731,0.203095,0.771536,0.712121,1.050006,0.716456
210,412,139,104,71,0.594286,0.747731,0.79845,0.747731,0.20155,0.772259,0.710744,1.052041,0.716456
211,411,140,104,71,0.594286,0.745917,0.798058,0.745917,0.201942,0.771107,0.709366,1.051525,0.716456
212,411,140,103,72,0.588571,0.745917,0.799611,0.745917,0.200389,0.771831,0.707989,1.053571,0.716456
213,410,141,103,72,0.588571,0.744102,0.79922,0.744102,0.20078,0.770677,0.706612,1.053056,0.716456
214,409,142,103,72,0.588571,0.742287,0.798828,0.742287,0.201172,0.76952,0.705234,1.052539,0.716456
215,408,143,103,72,0.588571,0.740472,0.798434,0.740472,0.201566,0.768362,0.703857,1.052021,0.716456
216,408,143,102,73,0.582857,0.740472,0.8,0.740472,0.2,0.769086,0.702479,1.054083,0.716456
217,407,144,102,73,0.582857,0.738657,0.799607,0.738657,0.200393,0.767925,0.701102,1.053566,0.716456
218,406,145,102,73,0.582857,0.736842,0.799213,0.736842,0.200787,0.766761,0.699725,1.053046,0.716456
219,405,146,102,73,0.582857,0.735027,0.798817,0.735027,0.201183,0.765595,0.698347,1.052524,0.716456
220,404,147,102,73,0.582857,0.733212,0.798419,0.733212,0.201581,0.764428,0.69697,1.052,0.716456
221,403,148,102,73,0.582857,0.731397,0.79802,0.731397,0.20198,0.763258,0.695592,1.051474,0.716456
222,402,149,102,73,0.582857,0.729583,0.797619,0.729583,0.202381,0.762085,0.694215,1.050946,0.716456
223,401,150,102,73,0.582857,0.727768,0.797217,0.727768,0.202783,0.760911,0.692837,1.050416,0.716456
224,400,151,102,73,0.582857,0.725953,0.796813,0.725953,0.203187,0.759734,0.69146,1.049884,0.716456
225,399,152,102,73,0.582857,0.724138,0.796407,0.724138,0.203593,0.758555,0.690083,1.04935,0.716456
226,398,153,102,73,0.582857,0.722323,0.796,0.722323,0.204,0.757374,0.688705,1.048813,0.716456
227,397,154,102,73,0.582857,0.720508,0.795591,0.720508,0.204409,0.75619,0.687328,1.048274,0.716456
228,396,155,102,73,0.582857,0.718693,0.795181,0.718693,0.204819,0.755005,0.68595,1.047734,0.716456
229,396,155,101,74,0.577143,0.718693,0.796781,0.718693,0.203219,0.755725,0.684573,1.049842,0.716456
230,396,155,100,75,0.571429,0.718693,0.798387,0.718693,0.201613,0.756447,0.683196,1.051958,0.716456
231,395,156,100,75,0.571429,0.716878,0.79798,0.716878,0.20202,0.755258,0.681818,1.051422,0.716456
232,394,157,100,75,0.571429,0.715064,0.797571,0.715064,0.202429,0.754067,0.680441,1.050883,0.716456
233,393,158,100,75,0.571429,0.713249,0.79716,0.713249,0.20284,0.752874,0.679063,1.050342,0.716456
234,393,158,99,76,0.565714,0.713249,0.79878,0.713249,0.20122,0.753595,0.677686,1.052477,0.716456
235,392,159,99,76,0.565714,0.711434,0.798371,0.711434,0.201629,0.752399,0.676309,1.051937,0.716456
236,391,160,99,76,0.565714,0.709619,0.797959,0.709619,0.202041,0.751201,0.674931,1.051394,0.716456
237,390,161,99,76,0.565714,0.707804,0.797546,0.707804,0.202454,0.75,0.673554,1.05085,0.716456
238,389,162,99,76,0.565714,0.705989,0.797131,0.705989,0.202869,0.748797,0.672176,1.050303,0.716456
239,388,163,99,76,0.565714,0.704174,0.796715,0.704174,0.203285,0.747592,0.670799,1.049755,0.716456
240,387,164,99,76,0.565714,0.702359,0.796296,0.702359,0.203704,0.746384,0.669421,1.049203,0.716456
241,386,165,99,76,0.565714,0.700544,0.795876,0.700544,0.204124,0.745174,0.668044,1.04865,0.716456
242,385,166,99,76,0.565714,0.69873,0.795455,0.69873,0.204545,0.743961,0.666667,1.048094,0.716456
243,384,167,99,76,0.565714,0.696915,0.795031,0.696915,0.204969,0.742747,0.665289,1.047536,0.716456
244,383,168,99,76,0.565714,0.6951,0.794606,0.6951,0.205394,0.74153,0.663912,1.046976,0.716456
245,383,168,98,77,0.56,0.6951,0.796258,0.6951,0.203742,0.742248,0.662534,1.049153,0.716456
246,382,169,98,77,0.56,0.693285,0.795833,0.693285,0.204167,0.741028,0.661157,1.048593,0.716456
247,382,169,97,78,0.554286,0.693285,0.797495,0.693285,0.202505,0.741748,0.65978,1.050783,0.716456
