@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,551,0,175,0,1,1,0.758953,1,0.241047,0.86296,1,1,0.019416
1,551,0,174,1,0.994286,1,0.76,1,0.24,0.863636,0.998623,1.001379,0.019416
2,550,1,174,1,0.994286,0.998185,0.759669,0.998185,0.240331,0.862745,0.997245,1.000943,0.019416
3,550,1,173,2,0.988571,0.998185,0.760719,0.998185,0.239281,0.863422,0.995868,1.002327,0.019416
4,550,1,172,3,0.982857,0.998185,0.761773,0.998185,0.238227,0.864101,0.99449,1.003715,0.019416
5,550,1,171,4,0.977143,0.998185,0.762829,0.998185,0.237171,0.86478,0.993113,1.005107,0.019416
6,550,1,170,5,0.971429,0.998185,0.763889,0.998185,0.236111,0.86546,0.991736,1.006503,0.019416
7,550,1,169,6,0.965714,0.998185,0.764951,0.998185,0.235049,0.866142,0.990358,1.007903,0.019417
8,550,1,168,7,0.96,0.998185,0.766017,0.998185,0.233983,0.866824,0.988981,1.009307,0.052337
9,550,1,167,8,0.954286,0.998185,0.767085,0.998185,0.232915,0.867508,0.987603,1.010715,0.052337
10,550,1,166,9,0.948571,0.998185,0.768156,0.998185,0.231844,0.868193,0.986226,1.012126,0.052337
11,550,1,165,10,0.942857,0.998185,0.769231,0.998185,0.230769,0.868878,0.984848,1.013542,0.052337
12,550,1,164,11,0.937143,0.998185,0.770308,0.998185,0.229692,0.869565,0.983471,1.014961,0.052337
13,550,1,163,12,0.931429,0.998185,0.771388,0.998185,0.228612,0.870253,0.982094,1.016385,0.052337
14,549,2,163,12,0.931429,0.99637,0.771067,0.99637,0.228933,0.869359,0.980716,1.015962,0.052337
15,549,2,162,13,0.925714,0.99637,0.772152,0.99637,0.227848,0.870048,0.979339,1.017391,0.052337
16,548,3,162,13,0.925714,0.994555,0.771831,0.994555,0.228169,0.869151,0.977961,1.016968,0.052337
17,547,4,162,13,0.925714,0.99274,0.771509,0.99274,0.228491,0.868254,0.976584,1.016544,0.052337
18,547,4,161,14,0.92,0.99274,0.772599,0.99274,0.227401,0.868944,0.975207,1.01798,0.052337
19,547,4,160,15,0.914286,0.99274,0.773692,0.99274,0.226308,0.869634,0.973829,1.019419,0.052337
20,547,4,159,16,0.908571,0.99274,0.774788,0.99274,0.225212,0.870326,0.972452,1.020863,0.052337
21,547,4,158,17,0.902857,0.99274,0.775887,0.99274,0.224113,0.871019,0.971074,1.022311,0.052337
22,547,4,157,18,0.897143,0.99274,0.776989,0.99274,0.223011,0.871713,0.969697,1.023764,0.052337
23,547,4,156,19,0.891429,0.99274,0.778094,0.99274,0.221906,0.872408,0.96832,1.02522,0.052337
24,547,4,155,20,0.885714,0.99274,0.779202,0.99274,0.220798,0.873105,0.966942,1.02668,0.284803
25,546,5,155,20,0.885714,0.990926,0.778887,0.990926,0.221113,0.872204,0.965565,1.026265,0.284803
26,546,5,154,21,0.88,0.990926,0.78,0.990926,0.22,0.872902,0.964187,1.027731,0.284803
27,546,5,153,22,0.874286,0.990926,0.781116,0.990926,0.218884,0.8736,0.96281,1.029202,0.284803
28,545,6,153,22,0.874286,0.989111,0.780802,0.989111,0.219198,0.872698,0.961433,1.028789,0.284803
29,544,7,153,22,0.874286,0.987296,0.780488,0.987296,0.219512,0.871795,0.960055,1.028374,0.284803
30,543,8,153,22,0.874286,0.985481,0.780172,0.985481,0.219828,0.87089,0.958678,1.027959,0.284803
31,543,8,152,23,0.868571,0.985481,0.781295,0.985481,0.218705,0.871589,0.9573,1.029438,0.284803
32,543,8,151,24,0.862857,0.985481,0.782421,0.985481,0.217579,0.872289,0.955923,1.030921,0.284803
33,543,8,150,25,0.857143,0.985481,0.78355,0.985481,0.21645,0.87299,0.954545,1.032409,0.284803
34,542,9,150,25,0.857143,0.983666,0.783237,0.983666,0.216763,0.872084,0.953168,1.031996,0.284803
35,542,9,149,26,0.851429,0.983666,0.78437,0.983666,0.21563,0.872786,0.951791,1.03349,0.284803
36,542,9,148,27,0.845714,0.983666,0.785507,0.983666,0.214493,0.873489,0.950413,1.034988,0.284803
37,542,9,147,28,0.84,0.983666,0.786647,0.983666,0.213353,0.874194,0.949036,1.03649,0.284803
38,541,10,147,28,0.84,0.981851,0.786337,0.981851,0.213663,0.873285,0.947658,1.036081,0.284803
39,540,11,147,28,0.84,0.980036,0.786026,0.980036,0.213974,0.872375,0.946281,1.035672,0.284803
40,540,11,146,29,0.834286,0.980036,0.787172,0.980036,0.212828,0.87308,0.944904,1.037181,0.284803
41,539,12,146,29,0.834286,0.978221,0.786861,0.978221,0.213139,0.872168,0.943526,1.036772,0.284803
