@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,537,14,134,41,0.765714,0.974592,0.800298,0.974592,0.199702,0.878887,0.924242,1.054476,0.004353
56,537,14,133,42,0.76,0.974592,0.801493,0.974592,0.198507,0.879607,0.922865,1.05605,0.004816
57,537,14,132,43,0.754286,0.974592,0.802691,0.974592,0.197309,0.880328,0.921488,1.057629,0.004921
58,537,14,131,44,0.748571,0.974592,0.803892,0.974592,0.196108,0.88105,0.92011,1.059212,0.004923
59,537,14,130,45,0.742857,0.974592,0.805097,0.974592,0.194903,0.881773,0.918733,1.0608,0.005387
60,537,14,129,46,0.737143,0.974592,0.806306,0.974592,0.193694,0.882498,0.917355,1.062393,0.006223
61,537,14,128,47,0.731429,0.974592,0.807519,0.974592,0.192481,0.883224,0.915978,1.06399,0.006276
62,536,15,128,47,0.731429,0.972777,0.807229,0.972777,0.192771,0.882305,0.914601,1.063608,0.007694
63,536,15,127,48,0.725714,0.972777,0.808446,0.972777,0.191554,0.883031,0.913223,1.065213,0.007963
64,535,16,127,48,0.725714,0.970962,0.808157,0.970962,0.191843,0.88211,0.911846,1.064831,0.00932
65,535,16,126,49,0.72,0.970962,0.80938,0.970962,0.19062,0.882838,0.910468,1.066442,0.009886
66,535,16,125,50,0.714286,0.970962,0.810606,0.970962,0.189394,0.883567,0.909091,1.068058,0.01165
67,534,17,125,50,0.714286,0.969147,0.810319,0.969147,0.189681,0.882645,0.907713,1.067679,0.014215
68,533,18,125,50,0.714286,0.967332,0.81003,0.967332,0.18997,0.88172,0.906336,1.0673,0.01441
69,532,19,125,50,0.714286,0.965517,0.809741,0.965517,0.190259,0.880795,0.904959,1.066919,0.014835
70,532,19,124,51,0.708571,0.965517,0.810976,0.965517,0.189024,0.881524,0.903581,1.068545,0.015766
71,531,20,124,51,0.708571,0.963702,0.810687,0.963702,0.189313,0.880597,0.902204,1.068165,0.015976
72,531,20,123,52,0.702857,0.963702,0.811927,0.963702,0.188073,0.881328,0.900826,1.069798,0.016257
73,531,20,122,53,0.697143,0.963702,0.81317,0.963702,0.18683,0.88206,0.899449,1.071436,0.017485
74,530,21,122,53,0.697143,0.961887,0.812883,0.961887,0.187117,0.881131,0.898072,1.071059,0.018073
75,530,21,121,54,0.691429,0.961887,0.814132,0.961887,0.185868,0.881864,0.896694,1.072704,0.018284
76,529,22,121,54,0.691429,0.960073,0.813846,0.960073,0.186154,0.880933,0.895317,1.072327,0.01897
77,528,23,121,54,0.691429,0.958258,0.813559,0.958258,0.186441,0.88,0.893939,1.071949,0.019023
78,528,23,120,55,0.685714,0.958258,0.814815,0.958258,0.185185,0.880734,0.892562,1.073604,0.019665
79,528,23,119,56,0.68,0.958258,0.816074,0.958258,0.183926,0.881469,0.891185,1.075263,0.020555
80,527,24,119,56,0.68,0.956443,0.815789,0.956443,0.184211,0.880535,0.889807,1.074888,0.02108
81,526,25,119,56,0.68,0.954628,0.815504,0.954628,0.184496,0.879599,0.88843,1.074511,0.022304
82,525,26,119,56,0.68,0.952813,0.815217,0.952813,0.184783,0.878661,0.887052,1.074134,0.022414
83,525,26,118,57,0.674286,0.952813,0.816485,0.952813,0.183515,0.879397,0.885675,1.075804,0.022427
84,524,27,118,57,0.674286,0.950998,0.816199,0.950998,0.183801,0.878458,0.884298,1.075428,0.022876
85,524,27,117,58,0.668571,0.950998,0.817473,0.950998,0.182527,0.879195,0.88292,1.077106,0.024537
86,524,27,116,59,0.662857,0.950998,0.81875,0.950998,0.18125,0.879933,0.881543,1.078789,0.025277
87,524,27,115,60,0.657143,0.950998,0.820031,0.950998,0.179969,0.880672,0.880165,1.080477,0.025649
88,524,27,114,61,0.651429,0.950998,0.821317,0.950998,0.178683,0.881413,0.878788,1.08217,0.02569
89,523,28,114,61,0.651429,0.949183,0.821036,0.949183,0.178964,0.880471,0.87741,1.081801,0.027026
90,523,28,113,62,0.645714,0.949183,0.822327,0.949183,0.177673,0.881213,0.876033,1.083502,0.028549
91,523,28,112,63,0.64,0.949183,0.823622,0.949183,0.176378,0.881956,0.874656,1.085208,0.028827
92,523,28,111,64,0.634286,0.949183,0.824921,0.949183,0.175079,0.8827,0.873278,1.08692,0.031904
93,523,28,110,65,0.628571,0.949183,0.826224,0.949183,0.173776,0.883446,0.871901,1.088637,0.032454
94,523,28,109,66,0.622857,0.949183,0.827532,0.949183,0.172468,0.884193,0.870523,1.090359,0.034636
95,523,28,108,67,0.617143,0.949183,0.828843,0.949183,0.171157,0.884941,0.869146,1.092087,0.03518
96,522,29,108,67,0.617143,0.947368,0.828571,0.947368,0.171429,0.883997,0.867769,1.091729,0.035544
97,521,30,108,67,0.617143,0.945554,0.828299,0.945554,0.171701,0.883051,0.866391,1.09137,0.036248
98,520,31,108,67,0.617143,0.943739,0.828025,0.943739,0.171975,0.882103,0.865014,1.09101,0.039068
99,520,31,107,68,0.611429,0.943739,0.829346,0.943739,0.170654,0.882852,0.863636,1.09275,0.039155
100,519,32,107,68,0.611429,0.941924,0.829073,0.941924,0.170927,0.881903,0.862259,1.092391,0.042041
101,518,33,107,68,0.611429,0.940109,0.8288,0.940109,0.1712,0.880952,0.860882,1.09203,0.046339
102,517,34,107,68,0.611429,0.938294,0.828526,0.938294,0.171474,0.88,0.859504,1.091669,0.048131
103,516,35,107,68,0.611429,0.936479,0.82825,0.936479,0.17175,0.879046,0.858127,1.091306,0.050244
104,516,35,106,69,0.605714,0.936479,0.829582,0.936479,0.170418,0.879795,0.856749,1.093061,0.052158
105,515,36,106,69,0.605714,0.934664,0.829308,0.934664,0.170692,0.87884,0.855372,1.092699,0.052506
106,514,37,106,69,0.605714,0.932849,0.829032,0.932849,0.170968,0.877882,0.853994,1.092337,0.052515
107,514,37,105,70,0.6,0.932849,0.830372,0.932849,0.169628,0.878632,0.852617,1.094101,0.054362
108,513,38,105,70,0.6,0.931034,0.830097,0.931034,0.169903,0.877673,0.85124,1.09374,0.057145
109,512,39,105,70,0.6,0.92922,0.829822,0.92922,0.170178,0.876712,0.849862,1.093377,0.0573
110,511,40,105,70,0.6,0.927405,0.829545,0.927405,0.170455,0.87575,0.848485,1.093013,0.060803
111,510,41,105,70,0.6,0.92559,0.829268,0.92559,0.170732,0.874786,0.847107,1.092648,0.061133
112,510,41,104,71,0.594286,0.92559,0.830619,0.92559,0.169381,0.875536,0.84573,1.094427,0.063461
113,509,42,104,71,0.594286,0.923775,0.830343,0.923775,0.169657,0.87457,0.844353,1.094063,0.063809
114,509,42,103,72,0.588571,0.923775,0.831699,0.923775,0.168301,0.875322,0.842975,1.095851,0.064595
115,508,43,103,72,0.588571,0.92196,0.831424,0.92196,0.168576,0.874355,0.841598,1.095488,0.067102
116,507,44,103,72,0.588571,0.920145,0.831148,0.920145,0.168852,0.873385,0.84022,1.095124,0.071043
117,506,45,103,72,0.588571,0.91833,0.83087,0.91833,0.16913,0.872414,0.838843,1.094758,0.07624
118,505,46,103,72,0.588571,0.916515,0.830592,0.916515,0.169408,0.871441,0.837466,1.094392,0.076726
119,505,46,102,73,0.582857,0.916515,0.83196,0.916515,0.16804,0.872193,0.836088,1.096195,0.078696
120,505,46,101,74,0.577143,0.916515,0.833333,0.916515,0.166667,0.872947,0.834711,1.098004,0.083316
121,505,46,100,75,0.571429,0.916515,0.834711,0.916515,0.165289,0.873702,0.833333,1.099819,0.084229
122,504,47,100,75,0.571429,0.914701,0.834437,0.914701,0.165563,0.872727,0.831956,1.099458,0.097282
123,503,48,100,75,0.571429,0.912886,0.834163,0.912886,0.165837,0.87175,0.830579,1.099096,0.101496
124,502,49,100,75,0.571429,0.911071,0.833887,0.911071,0.166113,0.870772,0.829201,1.098733,0.126345
125,502,49,99,76,0.565714,0.911071,0.835275,0.911071,0.164725,0.871528,0.827824,1.100561,0.128691
126,502,49,98,77,0.56,0.911071,0.836667,0.911071,0.163333,0.872285,0.826446,1.102396,0.131006
127,502,49,97,78,0.554286,0.911071,0.838063,0.911071,0.161937,0.873043,0.825069,1.104236,0.132218
128,501,50,97,78,0.554286,0.909256,0.837793,0.909256,0.162207,0.872063,0.823691,1.103879,0.132677
129,501,50,96,79,0.548571,0.909256,0.839196,0.909256,0.160804,0.872822,0.822314,1.105728,0.134956
130,501,50,95,80,0.542857,0.909256,0.840604,0.909256,0.159396,0.873583,0.820937,1.107584,0.136995
131,501,50,94,81,0.537143,0.909256,0.842017,0.909256,0.157983,0.874346,0.819559,1.109445,0.150716
132,501,50,93,82,0.531429,0.909256,0.843434,0.909256,0.156566,0.875109,0.818182,1.111313,0.157799
133,501,50,92,83,0.525714,0.909256,0.844857,0.909256,0.155143,0.875874,0.816804,1.113187,0.163013
134,501,50,91,84,0.52,0.909256,0.846284,0.909256,0.153716,0.87664,0.815427,1.115067,0.17262
